A001Abano Terme
A400	Ariano nel Polesine
A401	Ariccia
A402	Arielli
A403	Arienzo
A405	Arignano
A407	Aritzo
A409	Arizzano
A412	Arlena di Castro
A413	Arluno
A414	Armeno
A415	Armento
A418	Armo
A419	Armungia
A421	Arnara
A422	Arnasco
A424	Arnad
A425	Arnesano
A427	Arola
A429	Arona
A430	Arosio
A431	Arpaia
A432	Arpaise
A433	Arpino
A434	Arquà Petrarca
A435	Arquà Polesine
A436	Arquata Scrivia
A437	Arquata del Tronto
A438	Arre
A439	Arrone
A440	Arzago d'Adda
A441	Arsago Seprio
A443	Arsiè
A444	Arsiero
A445	Arsita
A446	Arsoli
A447	Arta Terme
A448	Artegna
A449	Artena
A451	Artogne
A452	Arvier
A453	Arzachena
A454	Arzana
A455	Arzano
A458	Arzergrande
A459	Arzignano
A460	Ascea
A461	Asciano
A462	Ascoli Piceno
A463	Ascoli Satriano
A464	Ascrea
A465	Asiago
A466	Asigliano Vercellese
A467	Asigliano Veneto
A468	Sinalunga
A470	Asola
A471	Asolo
A472	Casperia
A473	Assago
A474	Assemini
A475	Assisi
A476	Asso
A477	Assolo
A478	Assoro
A479	Asti
A480	Asuni
A481	Ateleta
A482	Atella
A484	Atena Lucana
A485	Atessa
A486	Atina
A487	Atrani
A488	Atri
A489	Atripalda
A490	Attigliano
A491	Attimis
A492	Atzara
A493	Auditore
A494	Augusta
A495	Auletta
A496	Aulla
A497	Aurano
A499	Aurigo
A501	Auronzo di Cadore
A502	Ausonia
A503	Austis
A506	Avegno
A507	Avelengo
A508	Avella
A509	Avellino
A511	Averara
A512	Aversa
A514	Avetrana
A515	Avezzano
A516	Aviano
A517	Aviatico
A518	Avigliana
A519	Avigliano
A520	Avio
A521	Avise
A522	Avola
A523	Avolasca
A525	Azeglio
A526	Azzanello
A527	Azzano d'Asti
A528	Azzano San Paolo
A529	Azzano Mella
A530	Azzano Decimo
A531	Azzate
A532	Azzio
A533	Azzone
A534	Baceno
A535	Bacoli
A536	Badalucco
A537	Badia
A538	Badia Pavese
A539	Badia Polesine
A540	Badia Calavena
A541	Badia Tedalda
A542	Badolato
A544	Bagaladi
A546	Bagheria
A547	Bagnacavallo
A550	Bagnaria
A551	Bagnara di Romagna
A552	Bagnara Calabra
A553	Bagnaria Arsa
A555	Bagnasco
A557	Bagnatica
A560	Bagni di Lucca
A561	Montecatini-Terme
A562	San Giuliano Terme
A564	Bagno a Ripoli
A565	Bagno di Romagna
A566	Bagnoli Irpino
A567	Bagnoli del Trigno
A568	Bagnoli di Sopra
A569	Bagnolo Mella
A570	Bagnolo Cremasco
A571	Bagnolo Piemonte
A572	Bagnolo del Salento
A573	Bagnolo in Piano
A574	Bagnolo di Po
A575	Bagnolo San Vito
A576	Bagnone
A577	Bagnoregio
A578	Bagolino
A579	Baia e Latina
A580	Baiano
A581	Bajardo
A584	Bairo
A586	Baiso
A587	Balangero
A588	Baldichieri d'Asti
A589	Baldissero d'Alba
A590	Baldissero Canavese
A591	Baldissero Torinese
A592	Balestrate
A593	Balestrino
A594	Ballabio
A597	Ballao
A599	Balme
A600	Balmuccia
A601	Balocco
A603	Balsorano
A604	Balvano
A605	Balzola
A606	Banari
A607	Banchette
A609	Villa Verde
A610	Bannio Anzino
A612	Banzi
A613	Baone
A614	Baradili
A615	Baragiano
A616	Baranello
A617	Barano d'Ischia
A618	Baranzate
A619	Barasso
A621	Baratili San Pietro
A625	Barbania
A626	Barbara
A627	Barbarano Vicentino
A628	Barbarano Romano
A629	Barbaresco
A630	Barbariga
A631	Barbata
A632	Barberino di Mugello
A633	Barberino Val d'Elsa
A634	Barbianello
A635	Barbiano
A637	Barbona
A638	Barcellona Pozzo di Gotto
A639	Barchi
A640	Barcis
A643	Bard
A645	Bardello
A646	Bardi
A647	Bardineto
A650	Bardolino
A651	Bardonecchia
A652	Bareggio
A653	Barengo
A655	Baressa
A656	Barete
A657	Barga
A658	Bargagli
A660	Barge
A661	Barghe
A662	Bari
A663	Bari Sardo
A664	Bariano
A665	Baricella
A666	Barile
A667	Barisciano
A668	Barlassina
A669	Barletta
A670	Barni
A671	Barolo
A673	Barone Canavese
A674	Baronissi
A676	Barrafranca
A677	Barrali
A678	Barrea
A681	Barumini
A683	Barzago
A684	Barzana
A686	Barzanò
A687	Barzio
A689	Basaluzzo
A690	Bascapè
A691	Baschi
A692	Basciano
A694	Baselga di Pinè
A696	Baselice
A697	Basiano
A698	Basicò
A699	Basiglio
A700	Basiliano
A701	Vasanello
A702	Bassano Bresciano
A703	Bassano del Grappa
A704	Bassano Romano
A705	Tronzano Lago Maggiore
A706	Bassano in Teverina
A707	Bassiano
A708	Bassignana
A709	Bastia Mondovì
A710	Bastia Umbra
A712	Bastida Pancarana
A713	Bastiglia
A714	Battaglia Terme
A716	Battifollo
A717	Battipaglia
A718	Battuda
A719	Baucina
A720	Boville Ernica
A721	Bauladu
A722	Baunei
A725	Baveno
A728	Bedero Valcuvia
A729	Bedizzole
A730	Bedollo
A731	Bedonia
A732	Bedulita
A733	Bee
A734	Beinasco
A735	Beinette
A736	Belcastro
A737	Belfiore
A738	Belforte Monferrato
A739	Belforte del Chienti
A740	Belforte all'Isauro
A741	Belgioioso
A742	Belgirate
A743	Bella
A745	Bellano
A746	Bellante
A747	Bellaria-Igea Marina
A749	Bellegra
A750	Bellino
A751	Bellinzago Lombardo
A752	Bellinzago Novarese
A755	Bellona
A756	Bellosguardo
A757	Belluno
A759	Bellusco
A760	Belmonte Piceno
A761	Belmonte del Sannio
A762	Belmonte Calabro
A763	Belmonte Castello
A764	Belmonte Mezzagno
A765	Belmonte in Sabina
A766	Belpasso
A768	Belsito
A769	Belvedere Ostrense
A770	Belveglio
A771	Lizzano in Belvedere
A772	Belvedere di Spinello
A773	Belvedere Marittimo
A774	Belvedere Langhe
A776	Belvì
A777	Bema
A778	Bene Lario
A779	Bene Vagienna
A780	Benestare
A781	Benetutti
A782	Benevello
A783	Benevento
A784	Benna
A785	Bentivoglio
A786	Berbenno
A787	Berbenno di Valtellina
A788	Berceto
A789	Berchidda
A791	Beregazzo con Figliaro
A792	Bereguardo
A793	Bergamasco
A794	Bergamo
A795	Bergantino
A796	Bergeggi
A798	Bergolo
A799	Berlingo
A801	Bernalda
A802	Bernareggio
A804	Bernate Ticino
A805	Bernezzo
A806	Berra
A809	Bertinoro
A810	Bertiolo
A811	Bertonico
A812	Berzano di San Pietro
A813	Berzano di Tortona
A815	Berzo San Fermo
A816	Berzo Demo
A817	Berzo Inferiore
A818	Besana in Brianza
A819	Besano
A820	Besate
A821	Besenello
A823	Besenzone
A825	Besnate
A826	Besozzo
A827	Bessude
A831	Bettola
A832	Bettona
A834	Beura-Cardezza
A835	Bevagna
A836	Beverino
A837	Bevilacqua
A841	Biancavilla
A842	Bianchi
A843	Bianco
A844	Biandrate
A845	Biandronno
A846	Bianzano
A847	Bianzè
A848	Bianzone
A849	Biassono
A850	Bibbiano
A851	Bibbiena
A852	Bibbona
A853	Bibiana
A854	Biccari
A855	Bicinicco
A856	Bidonì
A857	Blera
A859	Biella
A861	Bienno
A863	Bieno
A864	Bientina
A866	Bigarello
A870	Binago
A872	Binasco
A874	Binetto
A876	Bioglio
A877	Bionaz
A878	Bione
A880	Birori
A881	Bisaccia
A882	Bisacquino
A883	Bisceglie
A884	Bisegna
A885	Bisenti
A887	Bisignano
A889	Bistagno
A891	Bisuschio
A892	Bitetto
A893	Bitonto
A894	Bitritto
A895	Bitti
A896	Bivona
A897	Bivongi
A898	Bizzarone
A902	Bleggio Superiore
A903	Blello
A904	Blessagno
A905	Blevio
A906	Boara Pisani
A909	Bobbio
A910	Bobbio Pellice
A911	Boca
A912	Bocchigliero
A914	Boccioleto
A916	Bocenago
A918	Bodio Lomnago
A919	Boffalora d'Adda
A920	Boffalora Sopra Ticino
A922	Bogliasco
A925	Bognanco
A929	Bogogno
A930	Bojano
A931	Boissano
A932	Bolano
A937	Bolgare
A940	Bollate
A941	Bollengo
A942	Nova Siri
A944	Bologna
A945	Bolognano
A946	Bolognetta
A947	Bolognola
A948	Bolotana
A949	Bolsena
A950	Boltiere
A952	Bolzano
A953	Bolzano Novarese
A954	Bolzano Vicentino
A955	Bomarzo
A956	Bomba
A957	Bompensiere
A958	Bompietro
A959	Bomporto
A960	Bonarcado
A961	Bonassola
A962	Bonate Sotto
A963	Bonate Sopra
A964	Bonavigo
A965	Bondeno
A968	Bondone
A970	Bonea
A971	Bonefro
A972	Bonemerse
A973	Bonifati
A975	Bonito
A976	Bonnanaro
A977	Bono
A978	Bonorva
A979	Bonvicino
A981	Borbona
A982	Borca di Cadore
A983	Bordano
A984	Bordighera
A986	Bordolano
A987	Bore
A988	Boretto
A989	Borgarello
A990	Borgaro Torinese
A991	Borgetto
A992	Borghetto di Vara
A993	Borghetto d'Arroscia
A995	Borghetto Lodigiano
A996	Borgo Velino
A998	Borghetto di Borbera
A999	Borghetto Santo Spirito
B001	Borghi
B002	Borgia
B003	Borgiallo
B005	Borgio Verezzi
B006	Borgo Valsugana
B007	Borgo a Mozzano
B008	Borgorose
B009	Borgo d'Ale
B010	Borgo di Terzo
B012	Motteggiana
B013	Borgofranco sul Po
B014	Suardi
B015	Borgofranco d'Ivrea
B016	Borgolavezzaro
B017	Borgo San Giovanni
B018	Borgomale
B019	Borgomanero
B020	Borgomaro
B021	Borgomasino
B024	Borgone Susa
B025	Borgonovo Val Tidone
B026	Borgo Pace
B028	Borgo Priolo
B029	Borgoratto Alessandrino
B030	Borgoratto Mormorolo
B031	Borgoricco
B033	Borgo San Dalmazzo
B034	Fidenza
B035	Borgo San Giacomo
B036	Borgo San Lorenzo
B037	Borgo San Martino
B038	Borgo San Siro
B040	Borgosatollo
B041	Borgosesia
B042	Borgo Val di Taro
B043	Borgo Ticino
B044	Borgo Tossignano
B046	Borgo Vercelli
B048	Bormida
B049	Bormio
B051	Bornasco
B054	Borno
B055	Boroneddu
B056	Borore
B057	Borrello
B058	Borriana
B061	Borso del Grappa
B062	Bortigali
B063	Bortigiadas
B064	Borutta
B067	Borzonasca
B068	Bosa
B069	Bosaro
B070	Boschi Sant'Anna
B071	Bosco Marengo
B073	Bosco Chiesanuova
B075	Bosconero
B076	Boscoreale
B077	Boscotrecase
B079	Bosia
B080	Bosio
B081	Bosisio Parini
B082	Bosnasco
B083	Bossico
B084	Bossolasco
B085	Botricello
B086	Botrugno
B088	Bottanuco
B091	Botticino
B094	Bottidda
B097	Bova
B098	Bovalino
B099	Bova Marina
B100	Bovegno
B101	Boves
B102	Bovezzo
B104	Bovino
B105	Bovisio-Masciago
B106	Bovolenta
B107	Bovolone
B109	Bozzole
B110	Bozzolo
B111	Bra
B112	Bracca
B114	Bracciano
B115	Bracigliano
